,id,model,elayer,filter,seq_len,dlayer,fc,ma,acc
0,Pyraformer211000_3_ma,Pyraformer,2,,1000,1,3,,0.6584694400182107
1,Pyraformer21500_3_ma,Pyraformer,2,,500,1,3,,0.6973992536356937
2,conv_net111000_1_ma,conv_net,1,,1000,1,1,,0.7070967741935484
3,conv_next111000_1_ma,conv_next,1,,1000,1,1,,0.7329032258064516
4,fcn211000_1_ma,fcn,2,,1000,1,1,,0.743225806451613
5,fcn_m211000_1_ma,fcn_m,2,,1000,1,1,,0.7287096774193549
6,fcn_m311000_1_ma,fcn_m,3,,1000,1,1,,0.7238709677419355
7,lstm111000_1_ma,lstm,1,,1000,1,1,,0.727741935483871
8,lstm211000_3_ma,lstm,2,,1000,1,3,,0.6683376870912173
9,lstm21250_3_ma,lstm,2,,250,1,3,,0.7794238683127572
10,lstm21500_3_ma,lstm,2,,500,1,3,,0.7108821065381379
11,lstm_fcn111000_1_ma,lstm_fcn,1,,1000,1,1,,0.7470967741935484
12,lstm_fcn211000_1_ma,lstm_fcn,2,,1000,1,1,,0.74430224750528
13,lstm_fcn211000_3_ma,lstm_fcn,2,,1000,1,3,,0.7211055319220417
14,lstm_fcn21250_3_ma,lstm_fcn,2,,250,1,3,,0.6699376438300205
15,lstm_fcn21500_3_ma,lstm_fcn,2,,500,1,3,,0.6940652338798191
16,my121000_1_ma,my,1,,1000,2,1,,0.7255122697787926
17,my211000_1_ma,my,2,,1000,1,1,,0.7246308874556396
18,my211000_3_ma,my,2,,1000,1,3,,0.7089820634198485
19,my21250_3_ma,my,2,,250,1,3,,0.6883107872420904
20,my21500_3_ma,my,2,,500,1,3,,0.6914258408231391
21,my221000_1_ma,my,2,,1000,2,1,,0.7228411910669975
22,my311000_1_ma,my,3,,1000,1,1,,0.7257628803471171
23,sinc_net21250_3_ma,sinc_net,2,,250,1,3,,0.7074074074074074
